"2000"	"2001"	"2002"	"2003"	"2004"	"2005"	"2006"	"2007"	"2008"	"2009"	"2010"	"2011"	"2012"	"2013"	"2014"	"2015"	"2016"	"2017"	"2018"	"2019"	"2020"	"2021"	"2022"
"Norway"	55083.952177	55936.140564	56406.789605	56603.008478	58529.233036	59697.780338	60668.565245	61800.019118	61329.436744	59379.73993	59112.618957	58993.934509	59800.50845	59682.821726	60229.402346	60721.583813	60889.150193	61904.566549	62006.451704	62281.16114	61130.752868	63173.285118	64659.860734
"Sweden"	39168.96046	39629.957317	40368.99762	41148.377648	42764.409424	43811.101542	45596.861036	46816.575709	46243.976414	43861.830051	46078.024862	47192.649487	46569.231026	46724.767642	47493.036809	49103.131953	49494.064722	50085.594324	50472.544302	50955.847529	49491.027836	51844.229043	52853.127216
"Netherlands"	45016.747424	45719.775342	45526.873265	45384.148362	46122.964608	46959.29278	48507.269996	50226.754818	51117.137832	48992.496379	49396.333817	49928.17397	49230.887033	49023.431579	49541.389246	50288.352815	51118.941306	52296.806666	53217.731693	53904.966038	51522.042454	53747.257208	55614.945781
"Luxembourg"	94485.124768	96312.798882	98353.532992	99677.373266	102479.405086	103402.81531	107949.509189	114804.566615	112465.426482	106858.43681	108840.708709	107460.508301	106751.85601	107345.603736	107596.381642	107898.304236	110414.311916	109460.497811	108642.259745	108892.205785	106382.674606	110075.309354	109351.443637
"Portugal"	28959.7205	29315.200539	29379.878078	28997.39981	29445.420811	29620.827229	30047.820536	30740.518881	30794.260847	29804.610635	30308.450415	29838.111394	28744.018398	28635.405566	29018.203044	29660.845901	30355.379779	31496.613462	32446.029726	33308.381638	30511.578774	32219.030237	34419.618362
"Italy"	39472.062831	40215.683598	40240.1246	40078.700432	40347.700893	40440.961145	41000.734261	41358.117661	40645.494095	38276.461935	38760.496968	38899.793312	37637.147388	36870.471147	36863.232409	37206.331822	37759.301812	38461.306412	38898.485629	39183.358401	35839.163517	38541.384217	40087.547379
"United States"	48705.37996	48682.847554	49039.108447	49947.045487	51405.036201	52704.773601	53659.315034	54215.969731	53774.763193	51916.907293	52875.975942	53273.217613	54067.507537	54651.125542	55463.794265	56520.609227	57021.228829	57898.103033	59252.831726	60297.094128	58407.658693	61796.08451	62834.957703
"Korea"	22415.84598	23323.939011	24980.724428	25634.04918	26859.232659	27957.16774	29275.212026	30816.535499	31504.947286	31591.752968	33574.014063	34544.448637	35189.061744	36137.841115	37061.433257	37902.361018	38864.647711	39980.224147	40964.752746	41738.35149	41385.489575	43176.850734	44227.707805
"Iceland"	39188.090562	40203.318481	40076.835833	40695.009847	43375.420421	45518.554435	47058.075181	49873.118152	49698.292382	45918.262741	44785.869637	45469.531944	45709.569198	47332.942181	47602.309448	49203.294991	51587.556544	52499.406162	53614.206581	53386.250001	48722.900527	50015.45282	52160.514511
"Türkiye"	15066.4461	14004.661937	14718.596182	15382.280223	16688.245059	17966.707823	18976.560391	19688.444817	19599.164843	18398.291976	19647.903224	21529.993849	22275.252738	23857.026721	24700.097712	25855.912681	26357.927291	27970.139101	28416.535472	28232.749216	28502.28138	31450.878247	32759.517086
"Chile"	14255.684534	14541.09384	14841.071271	15372.278287	16224.420329	16967.666097	17837.682736	18564.987124	19078.55248	18682.265144	19617.710333	20608.943834	21640.035639	22142.222341	22316.501694	22563.582179	22711.780019	22705.133281	23192.764485	22930.01605	21132.599651	23348.971672	23729.894161
"New Zealand"	29407.710665	30299.853527	31258.376693	32074.538168	32649.624883	33313.655823	33712.595526	34677.238338	33840.597245	34142.144925	34106.05875	34760.858912	35458.387066	35824.352756	36482.474028	37246.951138	37837.544086	38710.689056	39532.981199	39798.72208	39144.146521	40762.188677	41525.299103
"Slovak Republic"	16309.416782	16906.379384	17671.611191	18641.065723	19614.046462	20894.793559	22653.357571	25080.898844	26433.616122	24936.637341	26551.675682	27421.912631	27741.741224	27882.415138	28605.097351	30062.179649	30598.827375	31453.911441	32675.832388	33454.729391	32282.727614	33377.148439	33564.557052
"Ireland"	46872.570646	48598.916268	50575.138116	51250.388251	53782.850093	55602.987611	56875.022559	58120.684028	54331.033443	51072.553392	51697.347338	51914.665115	51698.414129	52024.614514	56130.536626	69165.900652	69763.138558	75201.827361	80634.491524	83873.896605	88110.595961	99319.448805	109118.488758
"Estonia"	16647.56767	17756.004785	19084.398149	20658.800859	22208.152847	24456.253962	27007.520975	29223.216976	27816.694166	23795.376864	24420.878808	26265.506843	27205.479872	27706.790947	28636.583803	29222.748082	30085.329975	31835.142824	32951.360088	34036.905004	33745.715686	36417.606997	35902.119226
"Latvia"	12181.946975	13118.009518	14213.97579	15561.311357	17037.239852	19068.02467	21544.120097	23875.828477	23347.227196	20351.858886	19859.505506	20751.196512	22487.521058	23176.532314	23837.226817	24975.479748	25801.605219	26905.858407	28196.521123	29118.542552	28661.707689	30109.264296	30651.993888
"Lithuania"	12985.012439	13946.735833	15008.337834	16729.451117	18029.832044	19743.020745	21547.867411	24227.399121	25117.814498	21629.513778	22452.585042	24352.323277	25629.846684	26809.6721	27997.632769	28834.457574	29938.77101	31660.564089	33240.538254	34870.127671	34853.100585	36760.116592	37128.580021
"Costa Rica"	11873.556545	12029.423207	12222.838193	12567.906305	12915.814404	13217.299269	13964.589495	14904.066438	15389.923312	15025.625665	15564.539453	16097.75095	16662.720458	16861.46426	17238.027133	17649.314854	18171.908528	18709.918768	18983.883458	19233.940787	18219.900865	19437.752562	20064.807444
